time,temp_raw,humidity_raw,co2_raw,light_raw,temp,humidity,co2,light,prediction,confidence,final_status,zone,agreement,interventions,calibration_mode
2026-05-17T16:19:50.373556,32.3,70.0,2526.0,5.9,31.299999999999997,42.0,2406.0,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:19:53.896052,32.4,69.5,2479.8,56.7,31.4,41.699999999999996,2359.8,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:19:57.414342,32.4,69.4,2506.9,69.4,31.4,41.64,2386.9,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:00.932596,32.4,69.3,2496.1,89.0,31.4,41.58,2376.1,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:04.450217,32.4,69.3,2431.5,83.1,31.4,41.58,2311.5,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:07.968562,32.4,69.3,2302.1,62.6,31.4,41.58,2182.1,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:11.487447,32.4,69.3,2302.2,56.7,31.4,41.58,2182.2,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:15.005314,32.4,69.2,2325.6,42.0,31.4,41.52,2205.6,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:18.523518,32.4,69.3,2296.9,43.0,31.4,41.58,2176.9,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:22.042543,32.4,69.2,2418.1,51.8,31.4,41.52,2298.1,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:25.560804,32.4,69.2,2592.0,54.7,31.4,41.52,2472.0,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:29.079098,32.4,69.3,2589.2,57.7,31.4,41.58,2469.2,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
2026-05-17T16:20:32.596701,32.4,69.3,2603.1,68.4,31.4,41.58,2483.1,300.0,non-conducive,1.0,non-conducive,non-conducive,1.0,CRITICAL_ADJUSTMENT,refined
